"Horodateur","What country are you from?","What is the capital of your country?","What is the name of the city where you grew up? (If you grew up in multiple cities, choose the one where you spent the most time.)","What monthly salary will you expect in 10 years from now?","What is your age?","What is your height?","What is your gender?","What are your three favourite pets? Add a comma after each name.","What is your favourite colour ?"
"2024/02/05 6:25:41 PM UTC+1","Bénin","Cotonou","Cotonou","20000","22 year old","1m91","Man","Dragon,Lion,Tiger","Blue"
"2024/02/05 9:55:03 PM UTC+1","MAROCCO","RABAT ","EL KELAA DES SRAGHNAH","8000 ","21 year old","1,55","Woman","cat, dog, horse","black"
"2024/02/05 10:49:53 PM UTC+1","Bénin","Porto-Novo","Abomey-Calavi","50000 ","25 - 27 years old","1.58","Woman","Cat,Dog,Horse","Bleu"
"2024/02/06 8:25:53 AM UTC+1","Bénin ","Porto-Novo","Cotonou","3500","21 year old","173 cm","Man","Cat, dog","Beige"
"2024/02/06 8:26:49 AM UTC+1","Ivory Coast","Yamoussoukro","Abidjan","5000","23 year old","175","Man","Dog, Cat, Rabbit","Blue"
"2024/02/06 3:38:08 PM UTC+1","Bénin","Porto","Cotonou","50000","23 year old","182 cm","Man","Dog","Bleu"
"2024/02/06 3:48:41 PM UTC+1","France","Paris","Dijon","3500","18 - 20 years old","166cm","Woman","Rabbit, Dog, Cat","Pink"
"2024/02/08 5:15:28 PM UTC+1","France ","Paris ","Besançon ","4000 ","18 - 20 years old","1,62 m ","Woman","Horse, cat, dog ","Blue "
"2024/02/09 5:51:16 PM UTC+1","France","Paris","Ambérieu-en-Bugey","3000","18 - 20 years old","170 cm","Woman","Dog, Cat, Rabbit","Blue"
"2024/02/10 5:45:16 PM UTC+1","Benin ","Cotonou","Cotonou ","15000","22 year old","1M80","Man","No one","Black"
"2024/02/11 11:26:36 PM UTC+1","Bénin","Cotonou","Cotonou","7000","22 year old","157cm","Woman","Chien,","Rose"
"2024/03/03 11:14:51 PM UTC+1","france","paris","digne","1000000000","33 - 39 years old","1m 78 cms","Man","cat, dog, snake","greeen"
